=== Podsumowanie ===
=== Parametry wejściowe ===
Liczba odwołań: 50
Maksymalny numer strony: 15
Liczba ramek: 10
Sekwencja odwołań: 5 12 4 8 15 13 9 0 15 6 4 3 5 15 2 3 0 7 1 10 4 6 4 11 0 15 5 9 3 13 1 4 7 12 3 7 7 15 10 5 10 7 3 0 5 12 11 7 3 3


=== Wyniki FIFO ===
FIFO Page Replacement:
Reference | Frames | Fault
----------|--------|------
        5 | [5 ] | 1
       12 | [5 12 ] | 1
        4 | [5 12 4 ] | 1
        8 | [5 12 4 8 ] | 1
       15 | [5 12 4 8 15 ] | 1
       13 | [5 12 4 8 15 13 ] | 1
        9 | [5 12 4 8 15 13 9 ] | 1
        0 | [5 12 4 8 15 13 9 0 ] | 1
       15 | [5 12 4 8 15 13 9 0 ] | 0
        6 | [5 12 4 8 15 13 9 0 6 ] | 1
        4 | [5 12 4 8 15 13 9 0 6 ] | 0
        3 | [5 12 4 8 15 13 9 0 6 3 ] | 1
        5 | [5 12 4 8 15 13 9 0 6 3 ] | 0
       15 | [5 12 4 8 15 13 9 0 6 3 ] | 0
        2 | [2 12 4 8 15 13 9 0 6 3 ] | 1
        3 | [2 12 4 8 15 13 9 0 6 3 ] | 0
        0 | [2 12 4 8 15 13 9 0 6 3 ] | 0
        7 | [2 7 4 8 15 13 9 0 6 3 ] | 1
        1 | [2 7 1 8 15 13 9 0 6 3 ] | 1
       10 | [2 7 1 10 15 13 9 0 6 3 ] | 1
        4 | [2 7 1 10 4 13 9 0 6 3 ] | 1
        6 | [2 7 1 10 4 13 9 0 6 3 ] | 0
        4 | [2 7 1 10 4 13 9 0 6 3 ] | 0
       11 | [2 7 1 10 4 11 9 0 6 3 ] | 1
        0 | [2 7 1 10 4 11 9 0 6 3 ] | 0
       15 | [2 7 1 10 4 11 15 0 6 3 ] | 1
        5 | [2 7 1 10 4 11 15 5 6 3 ] | 1
        9 | [2 7 1 10 4 11 15 5 9 3 ] | 1
        3 | [2 7 1 10 4 11 15 5 9 3 ] | 0
       13 | [2 7 1 10 4 11 15 5 9 13 ] | 1
        1 | [2 7 1 10 4 11 15 5 9 13 ] | 0
        4 | [2 7 1 10 4 11 15 5 9 13 ] | 0
        7 | [2 7 1 10 4 11 15 5 9 13 ] | 0
       12 | [12 7 1 10 4 11 15 5 9 13 ] | 1
        3 | [12 3 1 10 4 11 15 5 9 13 ] | 1
        7 | [12 3 7 10 4 11 15 5 9 13 ] | 1
        7 | [12 3 7 10 4 11 15 5 9 13 ] | 0
